site_name,site_code,Survey,Data,continent,country,latitud,longitud,habitat,habitat.type,DroughtNet.NutNet,elev,precip,slope,aspect,precip_jan,precip_jul,temp,jan_high,jan_low,jul_high,jul_low,length_precip,length_temp,drought_trt,invaded,plow,grazed,burned,managed,active,shelter_length,shelter_width,shelter_hgt,trench_depth,depth,table_depth,plot_length,plot_width,selection,disturb_hist,arid
P12,p12.pa,No,"Biomass, cover",North America,PA,9.17936,-79.8296,seasonal tropical forest,Forest,No,10,2595.041,0,,69.4,280.4,25.8,26.5,25,27.4,24.3,42,42,50,0,0,0,0,0,1,12,12,2,0.5,NA,2,10,10,0,None,
P13,p13.pa,No,"Biomass, cover",North America,PA,9.18788,-79.821,seasonal tropical forest,Forest,No,55,2590.691,0,,69.4,280.4,25.8,26.5,25,27.4,24.3,42,42,50,0,0,0,0,0,1,12,12,2,0.5,NA,2,10,10,0,None,
Potrok Aike Drt,paike.ar,Yes,"Biomass, cover",South America,AR,-51.91602778,-70.4074444,grassland steppe,Grassland,No,150,202,0,0,25,15,5,17.3,5.7,3,-2.8,30,30,54,NA,0,0,0,0,1,3,3,0.8,0.4,0.45,1.8,2,2,0,None listed,0.344999999
Passo Gavia,passogavia.it,Yes,"Biomass, cover",Europe,IT,46.3539143,10.4893352,alpine primary grassland,Grassland,No,2681,1281,5,110,85,144,-2.1,-5.5,-10.7,8.2,2.6,30,30,43,NA,0,0,0,0,1,3.5,3,1.2,0.2,NA,NA,1,1,0,occasionally cattle-grazed for a week in August by a scanty number of animals. which do not represent an effective disturbance at our site,1.639000058
Pineta,pineta.es,Yes,"Biomass, cover",Europe,ES,42.6574,0.1191,meadow,Grassland,No,1239,1356.602,0,NA,113.2728,83.52367,7.3,6.285156,-3.386046,23.56691,8.675741,30,30,32.82,NA,0,0,0,0,1,3,3,2.5,NA,NA,NA,1,1,0,None listed,1.396999955
University of Wisconsin-Platteville Greenhouses,plattev.us,Yes,"Biomass, cover",North America,US,42.727009,-90.490151,old field,Grassland,No,0,961.6,0,180,28,115,8.1,-3.06,-12.8,27.9,16.3,29,29,50,NA,0,0,0,0,1,3,3,2,0.5,NA,0.7,2,2,0,None listed,0.897000015
PNE_IDE Burned,pneburn.br,Yes,"Biomass, cover",South America,BR,-17.916725,-52.992889,savanna,Grassland,No,860,1568.26,0,0,282,13.8,24.6,30.5,20.1,29.5,11.3,21,42,30,NA,0,0,1,0,1,3,3,1.2,NA,NA,NA,2,2,0,burned 1 year prior to start of experiment,1.174000025
PNE_IDE Unburned,pneunburn.br,Yes,"Biomass, cover",South America,BR,-17.916725,-52.992889,savanna,Grassland,No,860,1568.26,0,0,282,13.8,24.6,30.5,20.1,29.5,11.3,21,42,30,NA,0,0,1,0,1,3,3,1.2,NA,NA,NA,2,2,0,burned 1 year prior to start of experiment,1.174000025
los_pozos,pozos.ar,Yes,"Biomass, cover",South America,AR,-51.394222,-69.25,Temperate steppe,Grassland,No,80,244,0,0,27,18,7.5,20,8,5,-2,29,29,50,NA,0,0,0,1,1,2,2,1.2,NA,0.6,25,2,2,0,None listed,0.216999993
Prades (Spain),prades.es,Yes,"Biomass, cover",Europe,ES,41.34384299,1.033253448,Meditarranean forest,Forest,No,950,654,25,160,49,16,11.9,9.4,0.9,27.8,14.4,43,43,30,0,0,0,0,0,,19,14,0.8,0.8,0.8,NA,15,10,,thinned 60 years before the start of the experiment,0.569000006
Purdue Wildlife Area,purdue.us,Yes,"Biomass, cover",North America,US,40.4457,-87.0505,old field,Grassland,No,187,950,3,210,55,100,11.1,-0.8,-7.7,28.8,17,115,15,40,NA,0,0,1,1,1,3,3,1.8,0.75,1.7,0.69,1.5,1.5,0,None listed,0.897000015
Quebrada de Talca North Facing,qdtnorth.cl,Yes,"Biomass, cover",South America,CL,-30.06,-71.09,semiarid shrubland,Shrubland,No,657,195,24,63,0,2.2,14.09,28.61,12.08,24.1,0.71,1,1,75,NA,543,0,0,0,1,6,6,1.2,0,2,NA,NA,4,0,NA,0.104999997
Quebrada de Talca South Facing,qdtsouth.cl,Yes,"Biomass, cover",South America,CL,-30.05,-71.1,semiarid shrubland,Shrubland,No,657,195,33,193,0,2.2,14.09,28.61,12.08,24.1,0.71,1,1,75,NA,543,0,0,0,1,6,6,1.2,0,2,NA,NA,4,0,NA,0.104999997
Quilpie,quilpie.au,Yes,"Biomass, cover",Australia,AU,-26.58,144.62,Managed grassland,Grassland,No,0,354,0,0,52.2,22.3,22,36.29999924,24.5,20,5.699999809,30,30,65,NA,0,1,0,1,1,3,3,1.5,0,NA,NA,2,2,0,NA,0.166999996
Rhijnauwen,rhijn.nl,Yes,"Biomass, cover",Europe,NL,52.073524,5.175666,meadow,Grassland,Yes,8,796.92,0,180,66.82,79.56,9.5,8.57,-4.78,22.34,13.19,110,117,51.4,NA,0,1,0,1,1,3,3,1.3,0.5,NA,NA,2,2,0,None listed,1.261999965
Rio Mayo,riomayo.ar,Yes,"Biomass, cover",South America,AR,-45.3977,-70.3059,grass-shrub steppe,Shrubland,No,545,155,0,NA,8,21,9.5,23.3,9.5,7.5,-3,63,35,67,NA,0,1,0,1,1,3,3,1.2,NA,0.4,2.5,2,2,0,None listed,0.221000001
Sandhills,sand.us,No,"Biomass, cover",North America,US,34.95738,-79.51774,Pine savanna,Grassland,Yes,120.75,1202,,,96.27,156.46,19.44,11.67,-1.11,33.33,20.56,,,30,,,,,,,,,,,,,,,,,
San Claudio,sclaudio.ar,Yes,"Biomass, cover",South America,AR,-35.915411,-61.14839,Mesic Grassland,Grassland,No,82,950,0.6,45,127.9,38.3,16,31,17,14,4,29,29,50,NA,1,0,0,1,1,3,3,1.6,NA,1.6,1.71,3,3,0,None listed,0.869000018
SantaCruzHigh,scruzh.us,Yes,"Biomass, cover",North America,US,37.02,-122.08,coastal prairie,Grassland,No,300,745,5,0,156,1.5,13.9,15.8,3.8,23.7,10.6,100,100,60,NA,1,0,0,1,1,4,4,1.5,0.5,0.5,0.5,1,1,0,plowed for decades to 1980s,0.667999983
SantaCruzLow,scruzl.us,Yes,"Biomass, cover",North America,US,36.952692,-122.064091,coastal prairie,Grassland,No,5,745,0,0,156,1.5,13.9,15.8,3.8,23.7,10.6,100,100,60,NA,1,0,0,1,1,4,4,1.5,0.5,0.5,0.5,1,1,0,plowed for decades to 1980s,0.661000013
SantaCruzMiddle,scruzm.us,Yes,"Biomass, cover",North America,US,36.952692,-122.064091,coastal prairie,Grassland,No,150,745,5,0,156,1.5,13.9,15.8,3.8,23.7,10.6,100,100,60,NA,1,0,0,1,1,4,4,1.5,0.5,0.5,0.5,1,1,0,plowed for decades to 1980s,0.661000013
Sedgwick Reserve,sedgwick.us,Yes,"Biomass, cover",North America,US,34.715804,-120.038531,grassland,Grassland,No,383,380,5,289,79.8,0.55,15,26.4,-1.6,37.9,7.4,18,18,75,NA,0,1,0,1,1,4,4,1.5,0.5,2,2,2,2,0,None listed,0.393999994
Sevilleta_Black,sevblack.us,Yes,"Biomass, cover",North America,US,34.337523,-106.690685,Grassland,Grassland,No,1669,249,0,0,7,44,14,17,-12,38,15,20,20,66,0,0,0,0,0,1,2.5,2.5,1.5,NA,NA,NA,1,1,NA,,
Sevilleta_Blue,sevblue.us,Yes,"Biomass, cover",North America,US,34.341272,-106.623078,Grassland,Grassland,No,1669,255,0,0,8,52,15,16,-9,38,16,28,28,66,0,0,0,0,0,1,2.5,2.5,1.5,NA,NA,NA,1,1,NA,,
Sevilleta Forest,sevforest.us,Yes,"Biomass, cover",North America,US,34.386,-106.529,pinion juniper woodland,Forest,No,1920,347,13,160,11,65,11,7.4,-6.4,30.6,13.2,117,117,45,NA,0,0,0,0,1,40,40,1,NA,0.45,NA,40,40,0,None listed,0.165999994
Sevilleta_Mixed,sevmixed.us,No,"Biomass, cover",North America,US,34.359843,-106.690685,Grassland,Grassland,No,1669,234,0,0,7,38,14,17,-15,37,13,28,28,66,0,0,0,0,0,0,2.5,2.5,1.5,NA,NA,0,1,1,0,,
Shortgrass Steppe Drt,sgsdrt.us,Yes,"Biomass, cover",North America,US,40.805278,-104.7147,shortgrass prairie,Grassland,No,1622,341,0,0,7.87,51.56,8.6,16.75,-25.06,36.7,4.018,79,79,66,NA,NA,0,0,0,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0.287
ShermanCrane,sherman.pa,No,"Biomass, cover",North America,PA,9.28087,-79.9747,seasonal tropical forest,Forest,No,140,3300,0,,66.4,337.9,25,26.8,24.2,26.8,23,19,19,50,0,0,0,0,0,1,12,12,2,0.5,NA,2,10,10,0,None,
Skotsvaer,skotsvar.no,Yes,"Biomass, cover",Europe,NO,65.79602,12.219299,Coastal heathland,Shrubland,No,15,1766,15,270,165.6,125.3,5.5,7.16,-6,31.5,7.2,61,61,60,0,0,1,1,1,1,3,3,1,0,0.3,NA,2,2,0,Grazed until start of experiment,
SLP,slp.us,No,"Biomass, cover",North America,US,30.0848979,-97.1723148,Pine/Oak Savanna,Grassland,No,145.9992,930.7024634,2,45,67.22711579,58.76660417,20.10942761,16.84938272,3.118437118,35.5102657,22.49023199,100,100,50,0,0,1,1,0,1,3,3,1.8,0.457,1.5,50,2,2,0,"Tractor mow/shred 3, 8, 12 years before start",
Sonora Agrilife Research Station,sonora.us,Yes,"Biomass, cover",North America,US,30.27,-100.56,semiarid savanna,Grassland,Yes,685,567.9,2,180,23.6431667,53.2517684,17.9444444,15.29,1.36,32.02,20.69,95,95,69,NA,0,1,1,0,1,3.048,3.048,1.4,0.25-0.5,NA,121.98,5,5,0,None listed,0.296000004
San Pablo Valdes Drt,spvdrt.ar,Yes,"Biomass, cover",South America,AR,-42.653747,-64.171606,steppe,Grassland,No,70,220.6,10,170,10,17.1,20.7,27.6,13.6,12.3,1.2,30,30,50,NA,0,0,0,0,1,3,3,0.9,NA,0.4,NA,1,1,0,None listed,0.122000001
Stubai,stubai.at,Yes,"Biomass, cover",Europe,AT,47.12917,11.30556,Meadow,Grassland,No,1820,1100,20,135,,,3,,,,,,,26,0,0,0,0,1,,,4.5,4,,,,50,20,,,2.108999968
GCN-Suiha,suiha.cn,Yes,Cover (advised not to use biomass for this site),Asia,CN,46.53377,125.9875,Meadow steppe,Grassland,Yes,125,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,
Swift Current (Dry Mixed Grass),swift.ca,Yes,"Biomass, cover",North America,CA,50,-105,mixed grassland,Grassland,No,817,365.6,0,0,2.9,51.2,3.6,-7.9,-17.8,26,11.4,131,131,50,NA,NA,0,0,0,1,3,3,0.8,0,NA,NA,NA,NA,NA,None listed,0.430999994
Syferkuil (DroughtAct Limpopo),syferkuil.za,Yes,"Biomass, cover",Africa,ZA,-23.849886,29.700659,Thornbush savanna,Grassland,No,1255,478,82,3,17.7,37.1,17.1,37.1,17.1,27.8,4.4,30,30,66,1,0,0,1,6,6,2,0.45,,,4.8,4.8,0,"Grazed for > 40 years prior to the start of the experiment. Managed as a rangeland, with rotational grazing. Grazing exclusion at the onset of experiment. We also have data for a treatment where grazing was continued",,,0.444000006
Teshio Experimental Grassland,teshio.jp,Yes,"Biomass, cover",Asia,JP,44.91819,142.01947,Wet grassland,Grassland,No,15,1108.206,0,180,75.02376,115.797,6.404125,-4.119802,-13.49109,26.18515,15.91782,100,100,25,NA,0,0,0,0,1,3,3,2,0.3,NA,NA,3,3,0,None listed,1.914999962
Thompson Farm,thompson.us,Yes,"Biomass, cover",North America,US,43.11,-70.95,forest,Forest,No,21,1082,3,220,83,88,8.3,0.8,-10.2,27.9,14.4,119,119,52,NA,NA,0,0,0,1,30,30,2,0,NA,NA,NA,NA,NA,None listed,1.125
Torla,torla.es,Yes,"Biomass, cover",Europe,ES,42.651,-0.06553,meadow,Grassland,No,1363,1405.357,5,NA,122.5485,79.66037,7.4,5.962812,-3.037569,23.4135,9.167293,30,30,19.55,NA,0,0,0,0,1,3,3,2.5,NA,NA,NA,1,1,0,None listed,1.340000033
Tovetorp,tovetorp.se,Yes,"No data, waiting to submit their manuscripts",Europe,SE,58.946159,17.149306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukulinga IDE,ukulingadrt.za,Yes,"Biomass, cover",Africa,ZA,-29.670505,30.401345,Mesic grassland,Grassland,No,838,732.6,2,73,97.1,13.5,18.6,26.4,16.7,21.1,8.8,60,60,50,0,0,0,0,1,1,3.5,5,1.2,1,NA,NA,1,1,0,annual mowing before the start of the experiment,0.748000026
GCN-Urat,urat.cn,Yes,"Biomass, cover",Asia,CN,41.41667,106.96667,Desert steppe,Grassland,Yes,1658,152,,,,,4.833333353,,,,,,,50,,,,,,,,,,,,,,,,,0.152999997
Validate,validate.fr,Yes,"Biomass, cover",Europe,FR,45.7222222,3.02222222,grassland,Grassland,No,880,790,0,NA,47.7,68.5,8.19,8.2,-6.4,22.4,10.3,45,45,68,NA,0,0,0,1,1,3,3,1.4,1,0.74,NA,2,2,1,mown during the last 10 years,0.964999974
Wayqecha,wayqecha.pe,Yes,"Biomass, cover",South America,PE,-13.192252,-71.586541,tropical cloud forest,Forest,No,3010,1761,NA,NA,282,19,13.27500002,NA,NA,NA,NA,2,2,95,0,0,0,0,0,,30,30,3,NA,2,2,30,30,,NA,0.52700001
Wytham_RainDrop,wytham.uk,Yes,"Biomass, cover",Europe,UK,51.771063,-1.3324437,Calcareous Grassland,Grassland,No,120,743.6,1.35,85,65.72,55.26,9.93,6.66,1.88,21.24,12.16,22,23,50,NA,0,0,0,1,1,5,5,1.5,0,0.5,55,1,1,0,None listed,1.049000025
GCN-Xilinhot,xilin.cn,Yes,"Biomass, cover",Asia,CN,43.54959,116.7434,Typical steppe,Grassland,Yes,1263,338,,,,,1.083333353,,,,,,,50,,,,,,,,,,,,,,,,,0.38499999
GCN-Yanchi,yanchi.cn,Yes,"Biomass, cover",Asia,CN,37.31,106.93,Desert steppe,Grassland,Yes,1523.1,337,,,,,8.058333392,,,,,,,50,,,,,,,,,,,,,,,,,0.360000014
Yarramundi Drt,yarradrt.au,Yes,"Biomass, cover",Australia,AU,-33.613583,150.738103,Former pasture,Grassland,Yes,24,800,0,NA,94.7,46.5,17.6,29.6,17.4,17.4,4,30,30,65,NA,0,0,0,0,1,3,3,1.6,1.5,1,0.7,2,2,1,Grazed prior to fencing in 2014; aboveground biomass removed from all plots in September 2016,0.714999974
GCN-Youyu,youyu.cn,Yes,"Biomass, cover",Asia,CN,39.98806,112.32156,Typical steppe,Grassland,Yes,1348,390,,,,,4.633333405,,,,,,,50,,,,,,1,,,,,,,,,,,0.504999995
