spp_site,PC1,PC2,PC3,PC4,PC5,PC6
ACER PSEUDOPLATANUS_baddrt.de,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
EPILOBIUM ANGUSTIFOLIUM_baddrt.de,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
UNKNOWN GRASS SP._baddrt.de,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
PAPAVER RHOEAS_baddrt.de,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
TRAGOPOGON PRATENSIS_baddrt.de,0.084669863,0.209143709,0.10254922,-0.065356995,0.315226294,-0.017886422
ERIGERON CANADENSIS_baddrt.de,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
VERONICA PERSICA_baddrt.de,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
GEUM URBANUM_baddrt.de,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
BROMUS STERILIS_baddrt.de,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
POA TRIVIALIS_baddrt.de,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
PRUNUS AVIUM_baddrt.de,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
HYPERICUM PERFORATUM_baddrt.de,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
CYNOSURUS CRISTATUS_bayrdrt.de,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
RANUNCULUS REPENS_bayrdrt.de,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
VERONICA ARVENSIS_bayrdrt.de,0.117356423,-0.060313553,-0.190142541,-0.112275734,-0.076671032,-0.268875804
LYGODESMIA JUNCEA_biddulph.ca,0.016449323,-0.054853648,0.145583809,0.150349444,0.054165917,-0.094580443
ARTEMISIA FRIGIDA_biddulph.ca,0.016449323,-0.054853648,0.145583809,0.150349444,0.054165917,-0.094580443
CAREX SP._biddulph.ca,0.016449323,-0.054853648,0.145583809,0.150349444,0.054165917,-0.094580443
PSORALEA LANCEOLATA_biddulph.ca,0.016449323,-0.054853648,0.145583809,0.150349444,0.054165917,-0.094580443
FESTUCA ALTAICA_biddulph.ca,0.016449323,-0.054853648,0.145583809,0.150349444,0.054165917,-0.094580443
STIPA COMATA_biddulph.ca,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
ROSA ARKANSANA_biddulph.ca,0.016449323,-0.054853648,0.145583809,0.150349444,0.054165917,-0.094580443
SELAGINELLA DENSA_biddulph.ca,0.016449323,-0.054853648,0.145583809,0.150349444,0.054165917,-0.094580443
SOLIDAGO MISSOURIENSIS_biddulph.ca,-0.121680443,0.133255745,0.113368941,0.122316104,-0.020316999,-0.135898099
CIRSIUM ARVENSE_biddulph.ca,0.117356423,-0.060313553,-0.190142541,-0.112275734,-0.076671032,-0.268875804
ARTEMISIA LUDOVICIANA_biddulph.ca,0.117805322,0.06572283,-0.118127901,0.310116766,0.025111964,0.074048082
HETEROTHECA VILLOSA_biddulph.ca,0.117805322,0.06572283,-0.118127901,0.310116766,0.025111964,0.074048082
PHLOX HOODII_biddulph.ca,0.117805322,0.06572283,-0.118127901,0.310116766,0.025111964,0.074048082
UNKNOWN FORB(BIDDULPH.CA)_biddulph.ca,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
SCHINUS JOHNSTONII_chacra.ar,-0.039797789,0.195250779,-0.289862005,0.18628069,-0.10828538,0.166127164
BACCHARIS GILLIESII_chacra.ar,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
BACCHARIS ULICINA_chacra.ar,-0.117377467,-0.009120192,-0.012381041,-0.039185431,0.200907307,0.045303811
EPHEDRA TRIANDRA_chacra.ar,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
NASSELLA LONGIGLUMIS_chacra.ar,-0.117377467,-0.009120192,-0.012381041,-0.039185431,0.200907307,0.045303811
NASSELLA TENUIS_chacra.ar,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
POA LIGULARIS_chacra.ar,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
BACCHARIS TENELLA_chacra.ar,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
MEDICAGO MINIMA_chacra.ar,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
HOFFMANNSEGGIA TRIFOLIATA_chacra.ar,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
PIPTOCHAETIUM MONTEVIDENSE_chacra.ar,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
PAPPOPHORUM MUCRONULATUM_chacra.ar,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
STIPA PAPPOSA_chacra.ar,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
MARGYRICARPUS PINNATUS_chacra.ar,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
TRICHOCLINE SINUATA_chacra.ar,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
LEPIDIUM SUBULATUM_ciempoz.es,0.13640237,0.038121756,0.026945276,-0.239565893,-0.079102503,0.22453839
THYMUS VULGARIS_ciempoz.es,0.13640237,0.038121756,0.026945276,-0.239565893,-0.079102503,0.22453839
GYPSOPHILA STRUTHIUM_ciempoz.es,0.13640237,0.038121756,0.026945276,-0.239565893,-0.079102503,0.22453839
HELIANTHEMUM SQUAMATUM_ciempoz.es,0.13640237,0.038121756,0.026945276,-0.239565893,-0.079102503,0.22453839
CENTAUREA HYSSOPIFOLIA_ciempoz.es,0.13640237,0.038121756,0.026945276,-0.239565893,-0.079102503,0.22453839
UNKNOWN _cowidrt.ca,0.059482204,0.162703657,-0.034254281,-0.319746666,0.235824166,0.21945102
UNKNOWN A(COWIDRT.CA)_cowidrt.ca,0.059482204,0.162703657,-0.034254281,-0.319746666,0.235824166,0.21945102
LOMATIUM UTRICULATUM_cowidrt.ca,0.13640237,0.038121756,0.026945276,-0.239565893,-0.079102503,0.22453839
MYOSOTIS DISCOLOR_cowidrt.ca,0.13640237,0.038121756,0.026945276,-0.239565893,-0.079102503,0.22453839
VALERIANA samolifolia_cowidrt.ca,0.13640237,0.038121756,0.026945276,-0.239565893,-0.079102503,0.22453839
SYMPHORICARPOS ALBUS_cowidrt.ca,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
CERASTIUM ARVENSE_cowidrt.ca,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
CAREX INOPS_cowidrt.ca,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
TRIFOLIUM DUBIUM_cowidrt.ca,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
VICIA HIRSUTA_cowidrt.ca,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
VICIA SATIVA_cowidrt.ca,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
CYTISUS SCOPARIUS_cowidrt.ca,-0.195541859,0.075985588,-0.005589042,-0.024150064,-0.104716009,-0.017309887
GERANIUM MOLLE_cowidrt.ca,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
CAMASSIA QUAMASH_cowidrt.ca,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
AIRA CARYOPHYLLEA_cowidrt.ca,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
DACTYLIS GLOMERATA_cowidrt.ca,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
POA PRATENSIS_cowidrt.ca,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
BROMUS CARINATUS_cowidrt.ca,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
DODECATHEON HENDERSONII_cowidrt.ca,0.016449323,-0.054853648,0.145583809,0.150349444,0.054165917,-0.094580443
RANUNCULUS OCCIDENTALIS_cowidrt.ca,0.016449323,-0.054853648,0.145583809,0.150349444,0.054165917,-0.094580443
DELPHINIUM MENZIESII_cowidrt.ca,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
GALIUM APARINE_cowidrt.ca,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
VERONICA ARVENSIS_cowidrt.ca,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
VALERIANELLA LOCUSTA_cowidrt.ca,0.016449323,-0.054853648,0.145583809,0.150349444,0.054165917,-0.094580443
SANICULA CRASSICAULIS_cowidrt.ca,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
