"site_code","block","plot","subplot","year","mass","mass_category","note_biomass"
"baddrt.de",2,7,"A",2016,248.6,"anpp","anpp includes WOODY"
"baddrt.de",2,7,"A",2017,381.11,"anpp","anpp includes WOODY"
"baddrt.de",2,7,"A",2018,21.5,"anpp","anpp includes WOODY"
"baddrt.de",2,7,"A",2019,0.9,"anpp","anpp includes WOODY"
"baddrt.de",2,8,"A",2015,461.41,"anpp","anpp includes WOODY"
"baddrt.de",2,8,"A",2016,195.38,"anpp","anpp includes WOODY"
"baddrt.de",2,8,"A",2017,171.3,"anpp","anpp includes WOODY"
"baddrt.de",2,8,"A",2018,84.65,"anpp","anpp includes WOODY"
"baddrt.de",2,8,"A",2019,199.1,"anpp","anpp includes WOODY"
"baddrt.de",2,9,"A",2015,651.02,"anpp","anpp includes WOODY"
"baddrt.de",2,9,"A",2016,308.75,"anpp","anpp includes WOODY"
"baddrt.de",2,9,"A",2017,287.45,"anpp","anpp includes WOODY"
"baddrt.de",2,9,"A",2018,45.2,"anpp","anpp includes WOODY"
"baddrt.de",2,9,"A",2019,51.4,"anpp","anpp includes WOODY"
"baddrt.de",2,10,"A",2015,211.89,"anpp","anpp includes WOODY"
"baddrt.de",2,10,"A",2016,302.15,"anpp","anpp includes WOODY"
"baddrt.de",2,10,"A",2017,202.05,"anpp","anpp includes WOODY"
"baddrt.de",2,10,"A",2018,28.75,"anpp","anpp includes WOODY"
"baddrt.de",2,10,"A",2019,4.05,"anpp","anpp includes WOODY"
"baddrt.de",3,11,"A",2015,288.14,"anpp","anpp includes WOODY"
"baddrt.de",3,11,"A",2016,246.13,"anpp","anpp includes WOODY"
"baddrt.de",3,11,"A",2017,176.2,"anpp","anpp includes WOODY"
"baddrt.de",3,11,"A",2018,113.8,"anpp","anpp includes WOODY"
"baddrt.de",3,11,"A",2019,210.75,"anpp","anpp includes WOODY"
"baddrt.de",3,12,"A",2015,423.84,"anpp","anpp includes WOODY"
"baddrt.de",3,12,"A",2016,257.1,"anpp","anpp includes WOODY"
"baddrt.de",3,12,"A",2017,208.05,"anpp","anpp includes WOODY"
"baddrt.de",3,12,"A",2018,16.2,"anpp","anpp includes WOODY"
"baddrt.de",3,12,"A",2019,70.55,"anpp","anpp includes WOODY"
"baddrt.de",3,13,"A",2015,532.69,"anpp","anpp includes WOODY"
"baddrt.de",3,13,"A",2016,404.75,"anpp","anpp includes WOODY"
"baddrt.de",3,13,"A",2017,132.48,"anpp","anpp includes WOODY"
"baddrt.de",3,13,"A",2018,14.05,"anpp","anpp includes WOODY"
"baddrt.de",3,13,"A",2019,24.7,"anpp","anpp includes WOODY"
"baddrt.de",3,14,"A",2015,359.85,"anpp","anpp includes WOODY"
"baddrt.de",3,14,"A",2016,475.55,"anpp","anpp includes WOODY"
"baddrt.de",3,14,"A",2017,258.5,"anpp","anpp includes WOODY"
"baddrt.de",3,14,"A",2018,129.15,"anpp","anpp includes WOODY"
"baddrt.de",3,14,"A",2019,49.25,"anpp","anpp includes WOODY"
"baddrt.de",3,15,"A",2015,456.43,"anpp","anpp includes WOODY"
"baddrt.de",3,15,"A",2016,566.1,"anpp","anpp includes WOODY"
"baddrt.de",3,15,"A",2017,1071.6,"anpp","anpp includes WOODY"
"baddrt.de",3,15,"A",2018,99.05,"anpp","anpp includes WOODY"
"baddrt.de",3,15,"A",2019,69.3,"anpp","anpp includes WOODY"
"baddrt.de",4,16,"A",2015,499.64,"anpp","anpp includes WOODY"
"baddrt.de",4,16,"A",2016,359.33,"anpp","anpp includes WOODY"
"baddrt.de",4,16,"A",2017,702.4,"anpp","anpp includes WOODY"
"baddrt.de",4,16,"A",2018,80,"anpp","anpp includes WOODY"
"baddrt.de",4,16,"A",2019,52.7,"anpp","anpp includes WOODY"
"baddrt.de",4,17,"A",2015,664.49,"anpp","anpp includes WOODY"
"baddrt.de",4,17,"A",2016,634.77,"anpp","anpp includes WOODY"
"baddrt.de",4,17,"A",2017,754.6,"anpp","anpp includes WOODY"
"baddrt.de",4,17,"A",2018,100.1,"anpp","anpp includes WOODY"
"baddrt.de",4,17,"A",2019,59.55,"anpp","anpp includes WOODY"
"baddrt.de",4,18,"A",2015,617.85,"anpp","anpp includes WOODY"
"baddrt.de",4,18,"A",2016,331.7,"anpp","anpp includes WOODY"
"baddrt.de",4,18,"A",2017,497.75,"anpp","anpp includes WOODY"
"baddrt.de",4,18,"A",2018,64.85,"anpp","anpp includes WOODY"
"baddrt.de",4,18,"A",2019,196.6,"anpp","anpp includes WOODY"
"baddrt.de",4,19,"A",2015,357.16,"anpp","anpp includes WOODY"
"baddrt.de",4,19,"A",2016,149.15,"anpp","anpp includes WOODY"
"baddrt.de",4,19,"A",2017,181.08,"anpp","anpp includes WOODY"
"baddrt.de",4,19,"A",2018,96.4,"anpp","anpp includes WOODY"
"baddrt.de",4,19,"A",2019,12.2,"anpp","anpp includes WOODY"
"baddrt.de",4,20,"A",2015,297.99,"anpp","anpp includes WOODY"
"baddrt.de",4,20,"A",2016,476.9,"anpp","anpp includes WOODY"
